Municipality,Area_ha,Cost
Belterra,46989.61063005681,97970000.0
Parauapebas,46185.603789458335,97970000.0
Santarém,45408.647715633284,97970000.00000001
Altamira,40589.36932647403,97970000.00000001
Itaituba,22567.688693258682,51622310.789457515
Belém,18564.473526423582,38002519.27990665
Tucuruí,200.0,414355.73410404625
Conceição do Araguaia,200.0,415249.95375722554
Oriximiná,200.0,513877.1213872833
Acará,200.0,414250.53179190756
Novo Progresso,200.0,441234.9248554913
Melgaço,200.0,467640.70520231215
Portel,200.0,455069.02890173404
São Geraldo do Araguaia,200.0,414145.32947976876
Anapu,200.0,435396.1965317919
Novo Repartimento,200.0,421456.89017341036
São Félix do Xingu,200.0,455910.64739884395
Vitória do Xingu,200.0,411830.8786127168
Jacareacanga,200.0,497833.76878612716
Paragominas,200.0,420825.676300578
Marabá,200.0,417143.59537572257
Canaã dos Carajás,200.0,412725.098265896
Moju,200.0,415723.3641618498
Bragança,200.0,411673.0751445087
Almeirim,200.0,508827.41040462424
